"voter_id","full_name","active"
"TLW-8C7RVF","Aaron Smith","1"
"TLW-CZJYW2","Abigail Johnson","1"
"TLW-DJFWY6","Adam Brown","1"
"TLW-SEKV4F","Aiden Wilson","1"
"TLW-YDOVGR","Alexander Taylor","1"
"TLW-Z6417B","Alice Martin","1"
"TLW-2W9EUK","Amelia Davis","1"
"TLW-ZQO53D","Andrew Moore","1"
"TLW-OJLOT7","Anna Thompson","1"
"TLW-M264SY","Anthony White","1"
"TLW-VG86E8","Ashley Clark","1"
"TLW-XUKVJ4","Benjamin Harris","1"
"TLW-KP7SLE","Brandon Lewis","1"
"TLW-JW0DEK","Caleb Walker","1"
"TLW-I3WKL9","Cameron Hall","1"
"TLW-ZM9G88","Caroline Allen","1"
"TLW-N7XCPV","Charlotte Young","1"
"TLW-Z3LUV8","Chloe King","1"
"TLW-DUMXHT","Christopher Scott","1"
"TLW-7WINHU","Daniel Green","1"
"TLW-0QDQZY","David Baker","1"
"TLW-VOK47F","Dylan Adams","1"
"TLW-GLHAU8","Edward Nelson","1"
"TLW-V9OPJN","Elizabeth Carter","1"
"TLW-H8BSJ6","Emily Mitchell","1"
"TLW-F9GDEG","Emma Roberts","1"
"TLW-1WJ9NG","Ethan Turner","1"
"TLW-OJ45V3","Evelyn Phillips","1"
"TLW-3HD2K3","Gabriel Campbell","1"
"TLW-NRPPT4","Grace Parker","1"
"TLW-IYV7UK","Hannah Evans","1"
"TLW-BHWG3O","Henry Collins","1"
"TLW-89CV7R","Isabella Stewart","1"
"TLW-HX5OL5","Jack Edwards","1"
"TLW-WKQPZJ","Jacob Morris","1"
"TLW-P9LKWA","James Rogers","1"
"TLW-6SCI8D","Jasmine Reed","1"
"TLW-13RAQN","Jennifer Cook","1"
"TLW-LMISV8","Jessica Morgan","1"
"TLW-GK6F4U","John Bell","1"
"TLW-TIJIB1","Joseph Murphy","1"
"TLW-JWNQWK","Joshua Bailey","1"
"TLW-BKG7EI","Laura Rivera","1"
"TLW-2E6HU8","Liam Cooper","1"
"TLW-BUSWIQ","Lucas Richardson","1"
"TLW-GAD9RK","Mason Cox","1"
"TLW-2AX10K","Matthew Howard","1"
"TLW-M9667O","Michael Ward","1"
"TLW-JJU238","Nathan Brooks","1"
"TLW-C5R9DW","Olivia Gray","1"
